TYPENAME,TYPEID,GROUPID
Torpedo Launcher I Blueprint,790,136
Mjolnir Cruise Missile Blueprint,803,166
Scourge Cruise Missile Blueprint,804,166
Inferno Cruise Missile Blueprint,805,166
Nova Cruise Missile Blueprint,806,166
Nova Heavy Missile Blueprint,807,166
Mjolnir Heavy Missile Blueprint,808,166
Inferno Heavy Missile Blueprint,809,166
Scourge Heavy Missile Blueprint,810,166
Scourge Light Missile Blueprint,811,166
Inferno Light Missile Blueprint,812,166
Mjolnir Light Missile Blueprint,813,166
Nova Light Missile Blueprint,814,166
125mm Gatling AutoCannon I Blueprint,819,135
150mm Light AutoCannon I Blueprint,820,135
200mm AutoCannon I Blueprint,821,135
250mm Light Artillery Cannon I Blueprint,822,135
280mm Howitzer Artillery I Blueprint,823,135
Dual 180mm AutoCannon I Blueprint,824,135
220mm Vulcan AutoCannon I Blueprint,825,135
425mm AutoCannon I Blueprint,826,135
650mm Artillery Cannon I Blueprint,827,135
720mm Howitzer Artillery I Blueprint,828,135
Dual 425mm AutoCannon I Blueprint,829,135
Dual 650mm Repeating Cannon I Blueprint,830,135
800mm Repeating Cannon I Blueprint,831,135
1200mm Artillery Cannon I Blueprint,832,135
1400mm Howitzer Artillery I Blueprint,833,135
Gatling Pulse Laser I Blueprint,834,133
Dual Light Pulse Laser I Blueprint,835,133
Dual Light Beam Laser I Blueprint,836,133
Small Focused Pulse Laser I Blueprint,837,133
Small Focused Beam Laser I Blueprint,838,133
Quad Light Beam Laser I Blueprint,839,133
Focused Medium Pulse Laser I Blueprint,840,133
Focused Medium Beam Laser I Blueprint,841,133
Heavy Pulse Laser I Blueprint,842,133
Heavy Beam Laser I Blueprint,843,133
Dual Heavy Pulse Laser I Blueprint,844,133
Dual Heavy Beam Laser I Blueprint,845,133
Mega Pulse Laser I Blueprint,846,133
Mega Beam Laser I Blueprint,847,133
Tachyon Beam Laser I Blueprint,848,133
Carbonized Lead S Blueprint,879,165
Nuclear S Blueprint,880,165
Proton S Blueprint,881,165
Depleted Uranium S Blueprint,882,165
Titanium Sabot S Blueprint,883,165
Fusion S Blueprint,884,165
Phased Plasma S Blueprint,885,165
EMP S Blueprint,886,165
Carbonized Lead M Blueprint,887,165
Nuclear M Blueprint,888,165
Proton M Blueprint,889,165
Depleted Uranium M Blueprint,890,165
Titanium Sabot M Blueprint,891,165
Fusion M Blueprint,892,165
Phased Plasma M Blueprint,893,165
EMP M Blueprint,894,165
Carbonized Lead L Blueprint,895,165
Nuclear L Blueprint,896,165
Proton L Blueprint,897,165
Depleted Uranium L Blueprint,898,165
Titanium Sabot L Blueprint,899,165
Fusion L Blueprint,900,165
Phased Plasma L Blueprint,901,165
EMP L Blueprint,902,165
Reaper Blueprint,935,105
Executioner Blueprint,936,105
Inquisitor Blueprint,937,105
Tormentor Blueprint,938,105
Navitas Blueprint,939,105
Tristan Blueprint,940,105
Incursus Blueprint,941,105
Impairor Blueprint,943,105
Punisher Blueprint,944,105
Breacher Blueprint,945,105
Burst Blueprint,946,105
Minmatar Peacekeeper Ship Blueprint,947,105
Ibis Blueprint,948,105
Kestrel Blueprint,949,105
Merlin Blueprint,950,105
Heron Blueprint,952,105
Velator Blueprint,953,105
Imicus Blueprint,954,105
Atron Blueprint,955,105
Maulus Blueprint,956,105
Devourer Blueprint,960,105
Fury Blueprint,961,105
Immolator Blueprint,962,105
Medusa Blueprint,963,105
Echo Blueprint,964,105
Lynx Blueprint,965,105
Swordspine Blueprint,966,105
Caldari Shuttle Blueprint,967,111
Moa Blueprint,968,106
Maller Blueprint,969,106
Augoror Blueprint,970,106
Vexor Blueprint,971,106
Thorax Blueprint,972,106
Arbitrator Blueprint,973,106
Rupture Blueprint,974,106
Bellicose Blueprint,975,106
Scythe Blueprint,976,106
Blackbird Blueprint,977,106
Celestis Blueprint,978,106
Exequror Blueprint,979,106
Badger Blueprint,983,108
Tayra Blueprint,984,108
Nereus Blueprint,985,108
Hoarder Blueprint,986,108
Mammoth Blueprint,987,108
Wreathe Blueprint,988,108
Kryos Blueprint,989,108
Epithal Blueprint,990,108
Miasmos Blueprint,991,108
Iteron Mark V Blueprint,992,108
Scorpion Blueprint,994,107
Megathron Blueprint,995,107
Apocalypse Blueprint,996,107
Armageddon Blueprint,997,107
Typhoon Blueprint,998,107
Dominix Blueprint,999,107
Erebus Blueprint,1002,110
Small Shield Extender I Blueprint,1010,118
Small Shield Extender II Blueprint,1013,118
Shield Recharger I Blueprint,1026,119
Shield Recharger II Blueprint,1027,119
Small Shield Booster I Blueprint,1032,120
Small Shield Booster II Blueprint,1033,120
5MN Microwarpdrive I Blueprint,1067,126
1MN Afterburner II Blueprint,1071,126
1MN Afterburner I Blueprint,1072,126
5MN Microwarpdrive II Blueprint,1073,126
Cargo Scanner I Blueprint,1074,127
Ship Scanner I Blueprint,1075,128
Survey Scanner I Blueprint,1076,129
Warp Scrambler I Blueprint,1079,132
Warp Scrambler II Blueprint,1080,132
Gyrostabilizer II Blueprint,1095,139
Gyrostabilizer I Blueprint,1096,139
Small Armor Repairer I Blueprint,1099,142
Small Hull Repairer I Blueprint,1100,143
Stasis Webifier I Blueprint,1102,145
Stasis Webifier II Blueprint,1103,145
Small Remote Capacitor Transmitter I Blueprint,1105,147
Small Energy Nosferatu I Blueprint,1106,148
Small Energy Neutralizer I Blueprint,1109,151
75mm Gatling Rail I Blueprint,1112,154
Light Electron Blaster I Blueprint,1113,154
Light Ion Blaster I Blueprint,1114,154
Light Neutron Blaster I Blueprint,1115,154
150mm Railgun I Blueprint,1116,154
Heavy Electron Blaster I Blueprint,1117,154
Dual 150mm Railgun I Blueprint,1118,154
Heavy Neutron Blaster I Blueprint,1119,154
Heavy Ion Blaster I Blueprint,1120,154
250mm Railgun I Blueprint,1121,154
Electron Blaster Cannon I Blueprint,1122,154
Dual 250mm Railgun I Blueprint,1123,154
Neutron Blaster Cannon I Blueprint,1124,154
425mm Railgun I Blueprint,1125,154
Ion Blaster Cannon I Blueprint,1126,154
Medium Capacitor Booster I Blueprint,1128,156
Multispectrum Shield Hardener I Blueprint,1129,157
Iron Charge S Blueprint,1130,167
Tungsten Charge S Blueprint,1131,167
Iridium Charge S Blueprint,1132,167
Lead Charge S Blueprint,1133,167
Thorium Charge S Blueprint,1134,167
Uranium Charge S Blueprint,1135,167
Plutonium Charge S Blueprint,1136,167
Antimatter Charge S Blueprint,1137,167
Iron Charge M Blueprint,1138,167
Tungsten Charge M Blueprint,1139,167
Iridium Charge M Blueprint,1140,167
Lead Charge M Blueprint,1141,167
Thorium Charge M Blueprint,1142,167
Uranium Charge M Blueprint,1143,167
Plutonium Charge M Blueprint,1144,167
Antimatter Charge M Blueprint,1145,167
Iron Charge L Blueprint,1146,167
Tungsten Charge L Blueprint,1147,167
Iridium Charge L Blueprint,1148,167
Lead Charge L Blueprint,1149,167
Thorium Charge L Blueprint,1150,167
Uranium Charge L Blueprint,1151,167
Plutonium Charge L Blueprint,1152,167
Antimatter Charge L Blueprint,1153,167
Radio S Blueprint,1154,168
Microwave S Blueprint,1155,168
Infrared S Blueprint,1156,168
Standard S Blueprint,1157,168
Ultraviolet S Blueprint,1158,168
Xray S Blueprint,1159,168
Gamma S Blueprint,1160,168
Multifrequency S Blueprint,1161,168
Radio M Blueprint,1162,168
Microwave M Blueprint,1163,168
Infrared M Blueprint,1164,168
Standard M Blueprint,1165,168
Ultraviolet M Blueprint,1166,168
Xray M Blueprint,1167,168
Gamma M Blueprint,1168,168
Multifrequency M Blueprint,1169,168
Radio L Blueprint,1170,168
Microwave L Blueprint,1171,168
Infrared L Blueprint,1172,168
Standard L Blueprint,1173,168
Ultraviolet L Blueprint,1174,168
Xray L Blueprint,1175,168
Gamma L Blueprint,1176,168
Multifrequency L Blueprint,1177,168
Cap Booster 25 Blueprint,1178,169
Cap Booster 50 Blueprint,1179,169
Auto Targeting System I,1182,96
Small Armor Repairer II,1183,62
Small Armor Repairer II Blueprint,1184,142
Small Cap Battery I,1185,61
Small Cap Battery I Blueprint,1186,141
Small Remote Capacitor Transmitter II,1190,67
Small Remote Capacitor Transmitter II Blueprint,1191,147
Basic' Overdrive Injector System,1192,764
Basic' EM Coating,1193,98
Amarr Sentry Gun,1194,99
Cap Recharger I,1195,43
Cap Recharger I Blueprint,1196,123
EM Coating I,1197,98
EM Coating II,1198,98
Wasp I,1201,100
Civilian Mining Drone,1202,101
EM Coating I Blueprint,1204,163
EM Coating II Blueprint,1205,163
Auto Targeting System I Blueprint,1208,162
Burst Jammer I Blueprint,1210,160
Passive Targeter I Blueprint,1212,161
Wasp I Blueprint,1214,176
Mjolnir Auto-Targeting Light Missile I Blueprint,1216,166
Python Mine Blueprint,1217,174
Civilian Mining Drone Blueprint,1218,177
Scourge Rocket Blueprint,1220,166
Scourge Torpedo Blueprint,1221,166
Bistot,1223,451
Pyroxeres,1224,459
Crokite,1225,452
Jaspet,1226,456
Omber,1227,469
Scordite,1228,460
Gneiss,1229,467
Veldspar,1230,462
Hemorphite,1231,455
Dark Ochre,1232,453
Polaris Enigma Frigate,1233,237
Overdrive Injector System II,1236,764
Overdrive Injector System II Blueprint,1237,158
Basic' Reinforced Bulkheads,1240,78
Basic' Nanofiber Internal Structure,1242,763
Overdrive Injector System I,1244,764
Overdrive Injector System I Blueprint,1245,158
Capacitor Flux Coil I,1246,768
Capacitor Flux Coil I Blueprint,1247,137
Capacitor Flux Coil II,1248,768
Capacitor Flux Coil II Blueprint,1249,137
Shield Flux Coil I,1254,770
Shield Flux Coil I Blueprint,1255,137
Shield Flux Coil II,1256,770
Shield Flux Coil II Blueprint,1257,137
Basic' Explosive Coating,1262,98
Explosive Coating I,1264,98
Explosive Coating I Blueprint,1265,163
Explosive Coating II,1266,98
Explosive Coating II Blueprint,1267,163
Basic' Layered Coating,1272,98
Layered Coating I,1274,98
Layered Coating I Blueprint,1275,163
Layered Coating II,1276,98
Layered Coating II Blueprint,1277,163
Basic' Kinetic Coating,1282,98
Kinetic Coating I,1284,98
Kinetic Coating I Blueprint,1285,163
Kinetic Coating II,1286,98
Kinetic Coating II Blueprint,1287,163
Basic' Thermal Coating,1292,98
Thermal Coating I,1294,98
Thermal Coating I Blueprint,1295,163
Thermal Coating II,1296,98
Thermal Coating II Blueprint,1297,163
Basic' Multispectrum Coating,1302,98
Multispectrum Coating I,1304,98
Multispectrum Coating I Blueprint,1305,163
Multispectrum Coating II,1306,98
Multispectrum Coating II Blueprint,1307,163
Basic' Expanded Cargohold,1315,765
Expanded Cargohold I,1317,765
Expanded Cargohold I Blueprint,1318,158
Expanded Cargohold II,1319,765
Expanded Cargohold II Blueprint,1320,158
Reinforced Bulkheads I,1333,78
Reinforced Bulkheads I Blueprint,1334,158
Reinforced Bulkheads II,1335,78
Reinforced Bulkheads II Blueprint,1336,158
Basic Reactor Control Unit,1351,769
Reactor Control Unit I,1353,769
Reactor Control Unit I Blueprint,1354,137
Reactor Control Unit II,1355,769
Reactor Control Unit II Blueprint,1356,137
CharacterType,1373,1
CharacterLegacy10,1374,1
CharacterLegacy3,1375,1
CharacterLegacy4,1376,1
CharacterLegacy5,1377,1
CharacterLegacy6,1378,1
CharacterLegacy11,1379,1
CharacterLegacy2,1380,1
CharacterLegacy12,1381,1
CharacterLegacy9,1382,1
CharacterLegacy1,1383,1
CharacterLegacy7,1384,1
CharacterLegacy8,1385,1
CharacterLegacy13,1386,1
Basic' Inertial Stabilizers,1401,762
Inertial Stabilizers I,1403,762
Inertial Stabilizers I Blueprint,1404,158
Inertial Stabilizers II,1405,762
Inertial Stabilizers II Blueprint,1406,158
Basic' Shield Power Relay,1419,57
Shield Power Relay II,1422,57
Shield Power Relay II Blueprint,1423,137
Auto Targeting System II,1436,96
Auto Targeting System II Blueprint,1437,162
Capacitor Power Relay I,1445,767
Capacitor Power Relay I Blueprint,1446,137
Capacitor Power Relay II,1447,767
Capacitor Power Relay II Blueprint,1448,137
Caldari Administrative Station,1529,15
Caldari Research Station,1530,15
Caldari Trading Station,1531,15
Basic' Power Diagnostic System,1537,766
Power Diagnostic System I,1539,766
Power Diagnostic System I Blueprint,1540,137
Power Diagnostic System II,1541,766
Power Diagnostic System II Blueprint,1542,137
Small Proton Smartbomb I,1547,72
Small Proton Smartbomb I Blueprint,1548,152
Small Proton Smartbomb II,1549,72
Small Proton Smartbomb II Blueprint,1550,152
Small Graviton Smartbomb I,1551,72
Small Graviton Smartbomb I Blueprint,1552,152
Small Graviton Smartbomb II,1553,72
Small Graviton Smartbomb II Blueprint,1554,152
Small Plasma Smartbomb I,1557,72
Small Plasma Smartbomb I Blueprint,1558,152
Small Plasma Smartbomb II,1559,72
Small Plasma Smartbomb II Blueprint,1560,152
Small EMP Smartbomb I,1563,72
Small EMP Smartbomb I Blueprint,1564,152
Small EMP Smartbomb II,1565,72
Small EMP Smartbomb II Blueprint,1566,152
Amarr Bonus,1601,190
Ni-Kunni Bonus,1602,190
Civire Bonus,1603,190
Deteis Bonus,1604,190
Gallente Bonus,1605,190
Intaki Bonus,1606,190
Sebiestor Bonus,1607,190
Brutor Bonus,1608,190
Computer Empathy Bonus,1611,191
Ordered Mind Bonus,1612,191
Standard DNA Pattern Bonus,1613,191
Killer Instinct Bonus,1614,191
Deft Hands Bonus,1615,191
Structural Understanding Bonus,1616,191
Creative Bonus,1617,191
Glib Tongue Bonus,1618,191
August Demeanor Bonus,1619,191
Superior Motion Sense Bonus,1620,191
High-G Tolerance Bonus,1621,191
Vector Reckoning Bonus,1622,191
Stratum Form Feel Bonus,1623,191
Doctrine Ingrained Bonus,1624,191
Three Dimensional Thinking Bonus,1625,191
Swift Neural Grafting Bonus,1626,191
Booster Immunity Bonus,1627,191
Algiophobia Bonus,1628,193
Barophobia Bonus,1629,193
Cenophobia Bonus,1630,193
Claustrophobia Bonus,1631,193
Monophobia Bonus,1632,193
Mysophobia Bonus,1633,193
Taphephobia Bonus,1634,193
Xenophobia Bonus,1635,193
Mechanical Inaptitude Bonus,1636,192
Weak Double-helix Bond Bonus,1639,192
Short Attention Span Bonus,1640,192
Wasteful Bonus,1641,192
Trigger-happy Bonus,1642,192
Epileptic Bonus,1643,192
Strong Immunity System Bonus,1644,192
Amarr Military Academy Pilot Bonus,1650,195
Amarr Military Academy Gunner Bonus,1651,195
Amarr Technical School Engineering Bonus,1652,195
Amarr Technical School Electronics Bonus,1653,195
Amarr Business School Commerce Bonus,1654,195
Amarr Business School Industry Bonus,1655,195
Caldari Military Academy Pilot Bonus,1657,196
Caldari Military Academy Gunner Bonus,1658,196
Caldari Technical School Engineering Bonus,1659,196
Caldari Technical School Electronics Bonus,1660,196
Caldari Business School Commerce Bonus,1661,196
Caldari Business School Industry Bonus,1662,196
Gallente Military Academy Pilot Bonus,1663,197
Gallente Military Academy Gunner Bonus,1664,197
Gallente Technical School Engineering Bonus,1665,197
Gallente Technical School Electronics Bonus,1666,197
Gallente Business School Commerce Bonus,1667,197
Gallente Business School Industry Bonus,1668,197
Minmatar Military Academy Pilot Bonus,1669,198
Minmatar Military Academy Gunner Bonus,1670,198
Minmatar Technical School Engineering Bonus,1671,198
Minmatar Technical School Electronic Bonus,1672,198
Minmatar Business School Commerce Bonus,1673,198
Minmatar Business School Industry Bonus,1674,198
Bounty Hunter Bonus,1675,199
Scientist Bonus,1676,199
Industrialist Bonus,1677,199
Corporate Magnate Bonus,1678,199
Covert-op Bonus,1679,199
Navy Captain Bonus,1680,199
Basic' EM Shield Amplifier,1798,295
Basic' Thermal Shield Amplifier,1800,295
Basic' Kinetic Shield Amplifier,1802,295
Basic' Explosive Shield Amplifier,1804,295
EM Shield Amplifier I,1808,295
EM Shield Amplifier I Blueprint,1809,296
Scourge Auto-Targeting Light Missile I,1810,394
Scourge Auto-Targeting Light Missile I Blueprint,1811,166
Nova Auto-Targeting Light Missile I,1814,394
Nova Auto-Targeting Light Missile I Blueprint,1815,166
Inferno Auto-Targeting Light Missile I,1816,394
Inferno Auto-Targeting Light Missile I Blueprint,1817,166
Scourge Auto-Targeting Heavy Missile I,1818,395
Scourge Auto-Targeting Heavy Missile I Blueprint,1819,166
Mjolnir Auto-Targeting Heavy Missile I,1820,395
Mjolnir Auto-Targeting Heavy Missile I Blueprint,1821,166
Nova Auto-Targeting Heavy Missile I,1822,395
Nova Auto-Targeting Heavy Missile I Blueprint,1823,166
Inferno Auto-Targeting Heavy Missile I,1824,395
Inferno Auto-Targeting Heavy Missile I Blueprint,1825,166
Scourge Auto-Targeting Cruise Missile I,1826,396
Scourge Auto-Targeting Cruise Missile I Blueprint,1827,166
Mjolnir Auto-Targeting Cruise Missile I,1828,396
Mjolnir Auto-Targeting Cruise Missile I Blueprint,1829,166
Nova Auto-Targeting Cruise Missile I,1830,396
Nova Auto-Targeting Cruise Missile I Blueprint,1831,166
Inferno Auto-Targeting Cruise Missile I,1832,396
Inferno Auto-Targeting Cruise Missile I Blueprint,1833,166
Ship Scanner II,1855,48
Ship Scanner II Blueprint,1856,128
Rapid Light Missile Launcher I,1875,511
Rapid Light Missile Launcher I Blueprint,1876,136
Rapid Light Missile Launcher II,1877,511
Rapid Light Missile Launcher II Blueprint,1878,136
Basic' Heat Sink,1893,205
Concord Police Frigate,1896,25
Concord SWAT Frigate,1898,25
Concord Army Frigate,1900,25
Concord Special Ops Frigate,1902,25
Concord Police Cruiser,1904,26
Concord Police Battleship,1912,27
Concord Special Ops Battleship,1914,27
Concord SWAT Battleship,1916,27
Concord Army Battleship,1918,27
Amarr Station Hub,1926,15
Amarr Station Military,1927,15
Amarr Industrial Station,1928,15
Amarr Standard Station,1929,15
Amarr Mining Station,1930,15
Amarr Research Station,1931,15
Amarr Trade Post,1932,15
Bestower,1944,28
Bestower Blueprint,1945,108
Basic RADAR Backup Array,1946,203
ECCM - Radar I,1947,202
Magnetometric ECM I,1948,201
Basic' Signal Amplifier,1949,210
Basic' Tracking Enhancer,1951,211
Sensor Booster II,1952,212
Gravimetric ECM I,1955,201
Radar ECM I,1956,201
Multispectral ECM I,1957,201
Ladar ECM I,1958,201
ECCM Projector I,1959,289
ECCM Projector II,1960,289
Remote Sensor Booster I,1963,290
Remote Sensor Booster II,1964,290
Remote Sensor Dampener I,1968,208
Remote Sensor Dampener II,1969,208
Sensor Booster I,1973,212
Tracking Computer I,1977,213
Tracking Computer II,1978,213
Basic Ladar Backup Array,1982,203
Basic Gravimetric Backup Array,1983,203
Basic Magnetometric Backup Array,1984,203
Basic Multi Sensor Backup Array,1985,203
Signal Amplifier I,1986,210
Signal Amplifier II,1987,210
Tracking Enhancer I,1998,211
Tracking Enhancer II,1999,211
Cynosural Suppression,2001,1016
ECCM - Ladar I,2002,202
ECCM - Magnetometric I,2003,202
ECCM - Gravimetric I,2004,202
ECCM - Omni I,2005,202
Omen,2006,26
Omen Blueprint,2007,106
Cynosural Navigation,2008,1016
Supercapital Construction Facilities,2009,1016
Rebel Leader,2010,286
Prison Facility,2011,306
Terrorist Leader,2012,597
Hostages,2013,283
Planet (Oceanic),2014,7
Planet (Lava),2015,7
Planet (Barren),2016,7
Planet (Storm),2017,7
Medium Cap Battery I,2018,61
Medium Cap Battery I Blueprint,2019,141
Large Cap Battery I,2020,61
Large Cap Battery I Blueprint,2021,141
X-Large Capacitor Battery I,2022,61
X-Large Capacitor Battery I Blueprint,2023,141
Medium Capacitor Booster II,2024,76
Medium Capacitor Booster II Blueprint,2025,156
Pirate Detection Array 1,2026,1021
Pirate Detection Array 2,2027,1021
Pirate Detection Array 3,2028,1021
Pirate Detection Array 4,2029,1021
